date_archived,business,niche,city,contact,reason
2026-07-09,Cut Right Lawn Care,lawncare,Brainerd,218-851-9443 / Kaylarauen@gmail.com,HAS WEAK SITE (Jobber subdomain) - parked upgrade pitch; revive if boss wants upgrade angle back
2026-07-09,SS Lawn & Landscape,lawncare,Brainerd,(218) 296-1967 / fb:sslawnlandscapebrainerdmn,HAS WEAK SITE (free Wix subdomain) - parked upgrade pitch
2026-07-09,Hair Lounge Barbershop,barber,Minneapolis,(612) 601-4465 / Hairlounge1203@gmail.com,UNCERTAIN - possible site hairloungemn.com mentioned but unconfirmed; re-verify before any contact
2026-07-09,El Potro Mexican Restaurant,restaurant,Brainerd,(218) 454-7762,UNCERTAIN - Yelp shows possible rename to Senor Patron; directory noise; re-verify before any contact
2026-07-09,The Men's Depot,barber,Brainerd,fb:TheMensDepot,HAS WEBSITE themensdepot.com
2026-07-09,Shear Innovations Barbers,barber,Brainerd,fb:shearinnovationsbarbers,BAD LEAD - business is in Burnsville not Brainerd; Burnsville one has a site
2026-07-09,Grace Lawn Care,lawncare,Brainerd,(218) 772-8699,HAS WEBSITE gracelawncareandlandscaping.com
2026-07-09,Man Made Landscaping,landscaping,Brainerd,(218) 821-4724,HAS WEBSITE manmadelandscapingllc.com
2026-07-09,JN Tree Service & Landscaping,treeservice,Fort Ripley,(218) 232-7328,HAS WEBSITE jntreeservice-landscaping.com
2026-07-09,Stilo Cuts Barber Shop Uptown,barber,Minneapolis,(612) 377-4568,HAS WEBSITE stilocuts.com
2026-07-09,Twin Cities Mobile Detailing,detailing,Minneapolis,(612) 800-2774,HAS WEBSITE twincitiesmobiledetailing.com
2026-07-09,Shine Time Mobile Detailing,detailing,Minneapolis,fb:Shine-Time-mobile-detailing,HAS WEBSITE shinetimemdllc.com
2026-07-09,Liam's Mobile Detailing,detailing,Minnetonka,952-592-9711,HAS WEBSITE liamsdetailing.com
2026-07-09,MN Detail Company (mndetail.com),detailing,Twin Cities,via mndetail.com contact form,MISIDENTIFIED - different business than boss's target (MN Detail CO Redwood Falls); has real site; fleet/commercial focus
